"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",5.04,5.074,4.838,4.998,5479500,4.666666,2015-01-02,"RADL3.SA",NA,NA
"2",5.002,5.068,4.912,4.964,4621500,4.63492,2015-01-05,"RADL3.SA",-0.00680271525753073,-0.00680272108843538
"3",4.974,5.174,4.974,5.108,5810500,4.769373,2015-01-06,"RADL3.SA",0.0290086991792737,0.0290088638195003
"4",5.064,5.22,5.06,5.196,4158500,4.85154,2015-01-07,"RADL3.SA",0.0172280507311968,0.0172278778386845
"5",5.176,5.228,5.144,5.21,2228500,4.864611,2015-01-08,"RADL3.SA",0.00269419606970156,0.00269438029253277
"6",5.168,5.23,5.1,5.13,1934500,4.789914,2015-01-09,"RADL3.SA",-0.0153551846180507,-0.0153550863723608
"7",5.088,5.364,5.086,5.364,3554500,5.0084,2015-01-12,"RADL3.SA",0.045613762585299,0.0456140350877192
"8",5.32,5.348,5.202,5.25,8175500,4.90196,2015-01-13,"RADL3.SA",-0.0212522961424807,-0.0212527964205816
"9",5.256,5.448,5.202,5.202,3836500,4.857142,2015-01-14,"RADL3.SA",-0.0091428734628598,-0.00914285714285712
"10",5.222,5.3,5.194,5.2,3778000,4.855275,2015-01-15,"RADL3.SA",-0.000384382420773322,-0.000384467512495101
"11",5.222,5.388,5.194,5.374,3523500,5.017739,2015-01-16,"RADL3.SA",0.0334613384411799,0.0334615384615384
"12",5.332,5.4,5.22,5.222,5054000,4.875815,2015-01-19,"RADL3.SA",-0.0282844524197052,-0.0282843319687383
"13",5.256,5.34,5.236,5.306,1940000,4.954248,2015-01-20,"RADL3.SA",0.0160861312416487,0.0160857908847185
"14",5.33,5.38,5.222,5.25,5230000,4.90196,2015-01-21,"RADL3.SA",-0.0105541749222081,-0.0105540897097626
"15",5.276,5.308,5.13,5.22,5388500,4.873948,2015-01-22,"RADL3.SA",-0.00571444891431172,-0.00571428571428578
"16",5.166,5.196,5.086,5.184,3066500,4.840336,2015-01-23,"RADL3.SA",-0.00689625740775257,-0.00689655172413783
"17",5.122,5.26,5.122,5.23,2084500,4.883286,2015-01-26,"RADL3.SA",0.00887335094092645,0.00887345679012341
"18",5.172,5.198,5.02,5.14,3583000,4.799251,2015-01-27,"RADL3.SA",-0.0172086992242518,-0.0172084130019122
"19",5.14,5.23,5.09,5.184,2293500,4.840336,2015-01-28,"RADL3.SA",0.00856071082758536,0.00856031128404688
"20",5.174,5.218,5.14,5.18,3767500,4.836598,2015-01-29,"RADL3.SA",-0.000772260438118177,-0.000771604938271664
"21",5.192,5.22,5.078,5.17,6168000,4.827263,2015-01-30,"RADL3.SA",-0.00193007564407877,-0.00193050193050193
"22",5.164,5.198,5.12,5.18,3250500,4.836598,2015-02-02,"RADL3.SA",0.00193380803987675,0.0019342359767891
"23",5.18,5.3,5.16,5.28,6720000,4.929971,2015-02-03,"RADL3.SA",0.0193055118494445,0.0193050193050195
"24",5.25,5.334,5.05,5.076,6050500,4.739495,2015-02-04,"RADL3.SA",-0.0386363327492191,-0.0386363636363638
"25",5.078,5.2,5.068,5.1,3073500,4.761904,2015-02-05,"RADL3.SA",0.00472814086732876,0.00472813238770686
"26",5.102,5.198,5.06,5.154,2223500,4.812325,2015-02-06,"RADL3.SA",0.0105884116941459,0.0105882352941178
"27",5.152,5.26,5.106,5.26,4785000,4.911297,2015-02-09,"RADL3.SA",0.0205663582571833,0.0205665502522312
"28",5.238,5.364,5.186,5.2,4053000,4.855275,2015-02-10,"RADL3.SA",-0.0114067628164211,-0.0114068441064638
"29",5.204,5.312,5.158,5.164,3393500,4.821661,2015-02-11,"RADL3.SA",-0.00692319178625311,-0.00692307692307703
"30",5.232,5.3,5.16,5.3,5929000,4.948645,2015-02-12,"RADL3.SA",0.0263361526245831,0.0263361735089078
"31",5.258,5.32,5.184,5.24,4400500,4.892622,2015-02-13,"RADL3.SA",-0.0113208767248408,-0.011320754716981
